set_num,name,year,theme_id,num_parts
7678-1,Droid Gunship,2008,158,329
7679-1,Republic Fighter Tank,2008,158,595
7680-1,The Twilight - Limited Edition,2008,158,887
7681-1,Separatist Spider Droid,2008,158,214
7748-1,Corporate Alliance Tank Droid,2009,158,216
7749-1,Echo Base,2009,158,155
7751-1,Ahsoka's Starfighter and Vulture Droid,2009,158,291
7752-1,Count Dooku's Solar Sailer,2009,158,384
7753-1,Pirate Tank,2009,158,371
7754-1,Home One Mon Calamari Star Cruiser - Limited Edition,2009,158,788
7778-1,Midi-Scale Millennium Falcon,2009,158,355
77901-1,Sith Trooper Bust,2019,158,484
7868-1,Mace Windu's Jedi Starfighter,2011,158,308
7869-1,Battle for Geonosis,2011,158,335
7877-1,Naboo Starfighter,2011,158,318
7879-1,Hoth Echo Base,2011,158,773
7913-1,Clone Trooper Battle Pack,2011,158,85
7914-1,Mandalorian Battle Pack,2011,158,68
7915-1,Imperial V-wing Starfighter,2011,158,139
7929-1,The Battle of Naboo,2011,158,241
7930-1,Bounty Hunter Gunship,2011,158,390
7931-1,Jedi T-6 Shuttle,2011,158,389
7956-1,Ewok Attack,2011,158,166
7957-1,Sith Nightspeeder,2011,158,214
7958-1,Star Wars Advent Calendar 2011,2011,209,267
7959-1,Geonosian Starfighter,2011,158,163
7961-1,Darth Maul's Sith Infiltrator,2011,158,479
7962-1,Anakin's and Sebulba's Podracers,2011,158,810
7964-1,Republic Frigate,2011,158,1031
7965-1,Millennium Falcon,2011,158,1253
8000-1,Pit Droid,2000,18,223
8001-1,Battle Droid,2000,18,336
8002-1,Destroyer Droid,2000,18,567
8007-1,C-3PO,2001,18,339
8008-1,Stormtrooper,2001,18,360
8009-1,R2-D2,2002,18,239
8010-1,Darth Vader,2002,18,388
8011-1,Jango Fett,2002,18,425
8012-1,Super Battle Droid,2002,18,378
8014-1,Clone Walker Battle Pack,2009,158,80
8015-1,Assassin Droids Battle Pack,2009,158,94
8016-1,Hyena Droid Bomber,2009,158,235
8017-1,Darth Vader's TIE Fighter,2009,158,257
8018-1,Armored Assault Tank (AAT),2009,158,406
8019-1,Republic Attack Shuttle,2009,158,636
8028-1,TIE Fighter - Mini,2008,158,44
8029-1,Mini Snowspeeder,2008,158,66
8031-1,V-19 Torrent - Mini,2008,158,66
8033-1,General Grievous Starfighter - Mini,2009,158,44
8036-1,Separatist Shuttle,2009,158,258
8037-1,Anakin's Y-wing Starfighter,2009,158,570
8038-1,The Battle of Endor,2009,158,890
8039-1,Venator-Class Republic Attack Cruiser,2009,158,1170
8083-1,Rebel Trooper Battle Pack,2010,158,79
8084-1,Snowtrooper Battle Pack,2010,158,74
8085-1,Freeco Speeder,2010,158,176
8086-1,Droid Tri-Fighter,2010,158,267
8087-1,TIE Defender,2010,158,304
8088-1,ARC-170 Starfighter,2010,158,396
8089-1,Hoth Wampa Cave,2010,158,297
8091-1,Republic Swamp Speeder,2010,158,175
8092-1,Luke's Landspeeder,2010,158,163
8093-1,Plo Koon's Jedi Starfighter,2010,158,175
8095-1,General Grievous' Starfighter,2010,158,453
8096-1,Emperor Palpatine's Shuttle,2010,158,592
8097-1,Slave I,2010,158,563
8098-1,Clone Turbo Tank,2010,158,1145
8099-1,Midi-Scale Imperial Star Destroyer,2010,158,423
8128-1,Cad Bane's Speeder,2010,158,317
8129-1,AT-AT Walker,2010,158,814
911506-1,Snowspeeder,2015,158,19
911508-1,Jango Fett's Slave I,2015,158,20
911509-1,Imperial Shooter,2015,158,20
911510-1,Star Destroyer & TIE Fighter,2015,158,21
911511-1,Jedi Weapon Stand,2015,158,16
911607-1,Millennium Falcon,2016,158,42
911608-1,Landspeeder,2016,158,37
911609-1,Naboo Starfighter,2016,158,34
911610-1,Probe Droid,2016,158,20
911611-1,AAT,2016,158,37
911612-1,Acklay,2016,158,49
911613-1,TIE Bomber,2016,158,26
911614-1,Yoda's Hut,2016,158,29
911615-1,AT-AT,2016,158,48
911616-1,MTT,2016,158,45
911617-1,Palpatine's Shuttle,2016,158,37
911618-1,Flash Speeder,2017,158,43
911719-1,Kanan Jarrus,2017,158,6
911720-1,The Ghost,2017,158,50
911721-1,Imperial Combat Driver,2018,158,5
911722-1,TIE Advanced,2017,158,26
911723-1,Vulture Droid,2017,158,35
911724-1,A-Wing,2017,158,47
911725-1,Sandcrawler,2017,158,50
911726-1,Imperial Snowtrooper,2017,158,7
911727-1,Rey's Speeder,2017,158,35
911728-1,First Order Snowspeeder,2017,158,44
911729-1,Droid Gunship,2017,158,25
911730-1,Y-Wing,2017,158,60
911831-1,Kylo Ren's Shuttle,2018,158,21
911832-1,Imperial Shuttle Pilot,2018,158,5
911833-1,Imperial Shuttle,2018,158,36
911834-1,Finn,2018,158,5
911835-1,Dwarf Spider Droid,2018,158,23
911836-1,Quadjumper,2018,158,42
911837-1,AT-ST,2018,158,48
911838-1,Probe Droid,2018,158,26
911839-1,Obi-Wan Kenobi,2018,158,6
911840-1,Droideka,2018,158,24
911841-1,Poe Dameron's X-Wing,2018,158,48
911842-1,Star Destroyer,2018,158,35
911943-1,Luke Skywalker,2019,158,6
911944-1,Resistance Bomber,2019,158,37
911945-1,Slave I,2019,158,31
911946-1,U-Wing,2019,158,37
911947-1,IG-88,2019,158,11
911948-1,AT-M6,2019,158,52
911949-1,Millennium Falcon,2019,158,32
911950-1,B-Wing,2019,158,52
911951-1,First Order Stormtrooper,2019,158,5
911952-1,Jedi Interceptor,2019,158,30
911953-1,First Order SF TIE Fighter,2019,158,32
911954-1,Kylo Ren's TIE Silencer,2019,158,33
912055-1,Snowspeeder,2020,158,28
912056-1,TIE Striker,2020,158,28
912057-1,R2-D2 & MSE-6,2020,158,13
912058-1,Darth Maul's Sith Infiltrator,2020,158,34
912059-1,Elite Praetorian Guard,2020,158,7
912060-1,A-Wing,2020,158,44
912061-1,AT-AT,2020,158,51
912062-1,Stormtrooper,2020,158,5
912063-1,Resistance X-Wing,2020,158,42
912064-1,Mini Sith Eternal TIE Dagger,2020,158,37
9488-1,Elite Clone Trooper & Commando Droid Battle Pack,2012,158,105
9489-1,Endor Rebel Trooper & Imperial Trooper Battle Pack,2012,158,77
9490-1,Droid Escape,2012,158,137
9491-1,Geonosian Cannon,2012,158,133
9492-1,TIE Fighter,2012,158,413
9493-1,X-wing Starfighter,2012,158,560
9494-1,Anakin's Jedi Interceptor,2012,158,299
9495-1,Gold Leader's Y-wing Starfighter,2012,158,457
9496-1,Desert Skiff,2012,158,220
9497-1,Republic Striker Starfighter,2012,158,376
9498-1,Saesee Tiin's Jedi Starfighter,2012,158,244
9499-1,Gungan Sub,2012,158,466
9500-1,Sith Fury-class Interceptor,2012,158,748
9509-1,Star Wars Advent Calendar 2012,2012,209,235
9515-1,Malevolence,2012,158,1100
9516-1,Jabba’s Palace,2012,158,717
9525-1,Pre Vizsla's Mandalorian Fighter,2012,158,403
9526-1,Palpatine’s Arrest,2012,158,649
9674-1,Naboo Starfighter & Naboo,2012,158,56
9675-1,Sebulba's Podracer & Tatooine,2012,158,80
9676-1,TIE Interceptor & Death Star,2012,158,65
9677-1,X-wing Starfighter & Yavin 4,2012,158,77
9678-1,Twin-pod Cloud Car & Bespin,2012,158,78
9679-1,AT-ST & Endor,2012,158,65
9748-1,Droid Developer Kit,1999,261,658
9754-1,Dark Side Developers Kit,2000,261,578
CELEB2015-1,Tatooine Mini-Build (Star Wars Celebration Version),2015,158,178
CELEBV-1,Fan Celebration V - CubeDude - The Bounty Hunter Edition,2010,158,497
celebvi-1,Boba Fett’s Slave I - Mini - Star Wars Celebration VI Exclusive,2012,158,81
comcon001-1,Clone Wars Pack - San Diego Comic-Con 2008 Exclusive,2008,158,33
comcon004-1,Collectible Display Set 1 - San Diego Comic-Con 2009 Exclusive,2009,158,16
comcon005-1,Collectible Display Set 2 - San Diego Comic-Con 2009 Exclusive,2009,158,13
comcon006-1,Collectible Display Set 4 - San Diego Comic-Con 2009 Exclusive,2009,158,30
comcon007-1,Collectible Display Set 5 - San Diego Comic-Con 2009 Exclusive,2009,158,17
comcon008-1,Collectible Display Set 3 - San Diego Comic-Con 2009 Exclusive,2009,158,16
comcon009-1,Collectible Display Set 6 - San Diego Comic-Con 2009 Exclusive,2009,158,17
comcon010-1,Mini Republic Dropship Mini AT-TE Brickmaster Pack - San Diego Comic-Con 2009 Exclusive,2009,158,202
comcon011-1,LEGO Star Wars Holo-Brick Archives San Diego Comic-Con 2009 Exclusive,2009,158,3
comcon015-1,Star Wars Advent Calendar - San Diego Comic-Con 2011 Exclusive,2011,158,0
comcon019-1,Darth Maul’s Sith Infiltrator - Mini - San Diego Comic-Con 2012 Exclusive,2012,158,91
comcon024-1,Luke Skywalker's Landspeeder - Mini,2012,158,110
comcon032-1,JEK-14 Mini Stealth Starfighter,2013,158,123
comcon039-1,The Ghost Starship,2014,158,132
FANEXPO001-1,The Ghost Starship,2014,158,134
FANEXPO2015-1,Tatooine Mini-Build (FAN EXPO Version),2015,158,179
K10131-1,Battle of Yavin Collection,2004,158,0
K4479-1,TIE Bomber & TIE Fighter Kit,2003,158,0
K4480-1,Jabba's Palace Kit,2003,158,0
K4482-1,Episode II Final Scene Kit,2003,158,0
K4487-1,Star Wars Miniatures Kit I,2003,158,0
K4488-1,Star Wars Miniatures Kit II,2003,158,0
K4492-1,Star Wars Miniatures Kit III,2004,158,0
K7153-1,Episode II Ultimate Action Kit,2002,158,0
K7204-1,Jedi Adventure Kit,2002,158,0
K720x-1,Story Teller Pack,2002,158,0
K7283-1,V-wing Space Battle Collection,2005,158,0
K8008-1,Darth Vader / Stormtrooper Kit,2002,18,0
LUKE-1,Star Wars - Force Friday Mini Build - Luke Skywalker,2019,158,87
MAY2013-1,Holocron Droid,2013,158,31
PORG-1,Porg,2018,158,75
SDCC2015-2,Dagobah Mini-Build,2015,158,177
sw117promo-1,Darth Vader: 56. International Toy Fair Nuernberg,2005,158,3
SWCOMIC1-1,X-Wing,2015,158,23
swminifigs-1,Star Wars Minifig Packs 4-Pack,2000,158,0
SWMP-1,Star Wars / M&M Mosaic - Promo Set,2005,158,5462
TANTIVE-IV-1,Tantive IV,2019,158,56
tf05-1,Lego Toy Fair 2005 Star Wars V.I.P. Gala Set,2005,158,60
TOYFAIR-1,"Toy Fair 2009, Chrome Black Darth Vader",2009,158,7
TRUBB8-1,BB-8,2017,158,39
TRUFALCON-1,Millennium Falcon,2016,158,44
TRUGHOST-1,Micro Ghost,2014,158,42
TRUSWMF-2,Millennium Falcon,2018,158,24
TRUTIE-1,TIE Fighter,2014,158,12
TRUWOOKIE-1,Wookie Gunship,2015,158,41
TRUXWING-1,X-Wing,2014,158,23
TRUXWING-2,Poe's X-Wing Fighter,2015,158,27
TRUXWINGTIE-1,"TRU X-Wing Fighter & TIE Fighter (May 3, 2014)",2014,158,0
VP-10,Star Wars Value Pack with Free LEGO Backpack (K-Mart Australia Exclusive),2003,158,1
VP-11,Star Wars Co-Pack of 7101 7111 and 7131,2000,158,0
VP-12,Star Wars Co-Pack of 7121 and 7151,2000,158,0
VP-2,Star Wars Co-Pack of 7110 and 7144,2001,158,0
VP-3,Star Wars Co-Pack of 7131 and 7151,2000,158,0
VP-4,Star Wars Co-Pack of 7101 7111 and 7171,2000,158,0
VP-8,Star Wars Co-Pack of 7130 and 7150,2000,158,0
XWING-1,Mini X-Wing Fighter,2019,158,60
XWING-2,X-Wing Trench Run,2019,158,52
YODACHRON-1,Yoda Chronicles Promotional Set,2013,158,413
